Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25945,765,-36,3,Electronics,Electronic Games,COD
B-26086,762,101,6,Electronics,Printers,COD
B-25752,761,266,9,Electronics,Electronic Games,COD
B-26098,96,-48,5,Clothing,Leggings,UPI
B-26067,1137,-14,7,Electronics,Printers,EMI
B-25730,18,8,2,Clothing,Hankerchief,Debit Card
B-25986,749,-307,7,Furniture,Furnishings,COD
B-26067,1120,199,6,Clothing,Saree,EMI
B-25953,744,119,6,Electronics,Printers,COD
B-25952,14,0,4,Clothing,Hankerchief,UPI
B-25903,19,8,2,Clothing,Hankerchief,Debit Card
B-25650,512,-225,5,Clothing,Saree,COD
B-25970,742,198,2,Furniture,Bookcases,COD
B-26062,44,-40,3,Clothing,Stole,COD
B-25643,1061,-36,8,Furniture,Bookcases,EMI
B-25632,19,-2,2,Clothing,Leggings,Debit Card
B-25821,17,0,1,Clothing,Hankerchief,COD
B-25878,741,267,5,Furniture,Bookcases,COD
B-25752,735,-235,6,Electronics,Printers,COD
B-25750,19,-1,1,Clothing,Shirt,Debit Card
B-25657,1021,-48,4,Electronics,Electronic Games,EMI
B-25787,556,-209,7,Clothing,Saree,COD
B-25808,63,-17,6,Clothing,Leggings,COD
B-25885,734,248,2,Furniture,Chairs,COD
B-25778,933,166,5,Clothing,Saree,Credit Card
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card
B-25747,877,395,2,Furniture,Bookcases,Credit Card
B-25878,719,303,6,Furniture,Chairs,COD
B-25603,12,1,2,Clothing,Hankerchief,COD
B-25691,714,56,4,Clothing,Saree,COD
B-25607,50,-15,4,Clothing,Leggings,COD
B-25708,709,-100,5,Electronics,Phones,COD
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card
B-25831,693,254,6,Clothing,Saree,COD
B-25850,24,1,4,Clothing,Hankerchief,COD
B-25670,24,1,2,Clothing,Hankerchief,UPI
B-25852,24,1,2,Clothing,Hankerchief,COD
B-26029,21,10,1,Clothing,T-shirt,Debit Card
B-25959,681,259,4,Furniture,Chairs,COD
B-25676,674,-187,2,Furniture,Tables,COD
B-26097,671,-309,5,Electronics,Electronic Games,COD
B-25888,646,-213,3,Electronics,Electronic Games,COD
B-25911,40,15,1,Clothing,Kurti,COD
B-25662,24,-2,2,Clothing,T-shirt,COD
B-25950,644,167,2,Electronics,Printers,COD
B-25847,643,225,2,Electronics,Printers,COD
B-25796,632,-316,6,Clothing,Saree,COD
B-25693,632,316,6,Clothing,Saree,COD
B-25993,610,208,3,Electronics,Printers,COD
B-26052,78,-28,6,Clothing,Kurti,UPI
B-25930,595,119,4,Furniture,Bookcases,COD
B-25785,595,292,3,Clothing,Saree,COD
B-26093,852,51,5,Furniture,Bookcases,Credit Card
B-26053,594,89,3,Furniture,Bookcases,COD
B-26019,585,175,13,Clothing,T-shirt,COD
B-26070,582,262,5,Furniture,Furnishings,COD
B-25870,845,84,7,Clothing,Saree,Credit Card
B-25855,829,19,4,Electronics,Printers,Credit Card
B-25602,561,212,3,Clothing,Saree,COD
B-25728,771,-424,2,Electronics,Phones,Credit Card
B-25803,765,8,6,Clothing,Saree,EMI
B-25996,31,2,2,Clothing,Hankerchief,COD
B-26078,557,-111,2,Electronics,Electronic Games,COD
B-25803,757,371,2,Electronics,Printers,Credit Card
B-25682,545,-73,11,Electronics,Phones,COD
B-25749,1052,-82,3,Furniture,Bookcases,UPI
B-25962,544,-152,3,Furniture,Bookcases,COD
B-25899,22,9,2,Clothing,Leggings,Debit Card
B-25845,757,371,2,Electronics,Printers,Credit Card
B-25951,742,198,2,Furniture,Bookcases,Credit Card
B-25828,537,107,3,Clothing,Saree,COD
B-25803,536,91,1,Clothing,Trousers,COD
B-25656,6,3,1,Clothing,Hankerchief,COD
B-25681,523,204,7,Clothing,Trousers,COD
B-25658,27,9,2,Clothing,T-shirt,UPI
B-25698,516,392,8,Furniture,Chairs,COD
B-25832,504,116,3,Furniture,Bookcases,COD
B-25886,502,84,4,Electronics,Phones,COD
B-25897,734,213,6,Electronics,Electronic Games,Credit Card
B-25873,42,12,2,Clothing,Kurti,COD
B-25858,29,11,4,Clothing,Skirt,COD
B-25867,240,12,6,Clothing,Kurti,UPI
B-25633,496,-79,2,Clothing,Trousers,COD
B-25609,485,29,4,Electronics,Electronic Games,COD
B-25896,31,-11,3,Clothing,Skirt,UPI
B-26000,676,151,3,Electronics,Printers,Credit Card
B-25959,23,8,2,Clothing,Hankerchief,Debit Card
B-25940,13,3,2,Clothing,Hankerchief,COD
B-26087,180,0,8,Clothing,Stole,COD
B-26055,671,114,9,Electronics,Phones,Credit Card
B-25980,22,11,3,Clothing,Kurti,COD
B-25653,668,-31,3,Electronics,Printers,Credit Card
B-26052,145,0,3,Clothing,Saree,UPI
B-25877,24,8,2,Clothing,Skirt,Debit Card
B-25608,476,0,3,Furniture,Chairs,COD
B-25897,24,11,5,Clothing,Hankerchief,Debit Card
B-25881,37,3,3,Clothing,Hankerchief,COD
B-25905,152,50,6,Clothing,Stole,UPI
B-25818,32,11,2,Clothing,Leggings,UPI
B-25835,52,11,5,Clothing,Leggings,COD
B-26081,24,11,3,Clothing,Hankerchief,Debit Card
B-25730,473,42,4,Furniture,Chairs,COD
B-25837,263,50,5,Clothing,Stole,COD
B-25893,61,11,3,Clothing,Kurti,COD
B-25689,469,-459,3,Electronics,Electronic Games,COD
B-26028,1272,547,2,Electronics,Phones,COD
B-26081,169,0,3,Electronics,Accessories,COD
B-25903,25,11,3,Clothing,Leggings,Debit Card
B-25651,457,-41,4,Clothing,Saree,COD
B-25903,455,77,8,Electronics,Accessories,COD
B-26086,25,2,2,Clothing,Hankerchief,Debit Card
B-25654,450,-90,3,Electronics,Printers,COD
B-25720,30,-35,1,Furniture,Chairs,COD
B-26057,659,-37,2,Furniture,Bookcases,Credit Card
B-25798,448,148,2,Electronics,Printers,COD
B-25961,446,53,3,Electronics,Printers,COD
B-25701,98,-45,2,Furniture,Chairs,UPI
B-26055,443,11,1,Clothing,Saree,COD
B-25653,427,-50,7,Electronics,Phones,COD
B-25670,656,-36,2,Furniture,Bookcases,Credit Card
B-26056,424,161,2,Clothing,Saree,COD
B-26061,27,8,2,Clothing,T-shirt,Debit Card
B-25602,424,-272,5,Electronics,Phones,COD
B-26016,202,4,4,Clothing,Hankerchief,COD
B-25873,1275,357,2,Electronics,Phones,UPI
B-25761,418,70,7,Electronics,Phones,COD
B-25819,417,49,3,Electronics,Electronic Games,COD
B-25853,199,48,4,Clothing,Stole,UPI
B-25662,385,-77,11,Furniture,Furnishings,UPI
B-25993,414,199,3,Electronics,Phones,COD
B-25703,97,-45,4,Clothing,Saree,COD
B-25848,648,50,6,Electronics,Electronic Games,Credit Card
B-25678,27,-25,2,Clothing,Shirt,Debit Card
B-25925,27,12,1,Clothing,Stole,Debit Card
B-25977,27,1,1,Clothing,Stole,UPI
B-25797,413,-314,9,Furniture,Chairs,COD
B-26067,53,2,4,Clothing,Hankerchief,COD
B-25810,29,8,5,Clothing,Hankerchief,UPI
B-25648,30,13,1,Clothing,T-shirt,UPI
B-25933,412,412,6,Clothing,Saree,COD
B-25942,646,-23,2,Electronics,Printers,Credit Card
B-25656,30,-5,5,Clothing,Stole,UPI
B-26067,618,27,4,Furniture,Bookcases,Credit Card
B-25673,143,-124,5,Clothing,Saree,UPI
B-25797,31,1,2,Clothing,Hankerchief,UPI
B-26098,409,86,3,Clothing,Saree,COD
B-25656,406,126,2,Clothing,Saree,COD
B-25791,565,66,7,Clothing,Saree,Credit Card
B-26053,85,2,6,Clothing,Stole,COD
B-25983,561,118,5,Furniture,Bookcases,Credit Card
B-25743,503,-56,2,Clothing,Trousers,COD
B-25867,31,14,3,Clothing,Stole,UPI
B-25973,398,111,8,Clothing,Hankerchief,COD
B-25895,388,93,2,Furniture,Bookcases,COD
B-26003,498,-116,4,Clothing,Saree,UPI
B-25717,561,212,3,Clothing,Saree,Credit Card
B-26064,61,3,4,Clothing,Hankerchief,COD
B-25630,34,-22,4,Clothing,T-shirt,COD
B-26050,32,6,3,Clothing,Shirt,UPI
B-25786,623,-192,3,Furniture,Tables,UPI
B-26035,520,151,3,Electronics,Phones,Credit Card
B-25693,32,-16,6,Clothing,Saree,UPI
B-25703,32,-5,5,Clothing,Hankerchief,UPI
B-25966,510,234,6,Electronics,Electronic Games,EMI
B-26060,382,68,3,Clothing,Saree,COD
B-25898,33,13,3,Clothing,Leggings,UPI
B-25686,381,-13,2,Clothing,Saree,COD
B-26051,490,88,2,Electronics,Accessories,EMI
B-25854,381,144,2,Clothing,Saree,COD
B-26050,487,143,4,Electronics,Phones,EMI
B-25961,366,84,3,Furniture,Bookcases,COD
B-25701,33,-29,3,Clothing,Shirt,UPI
B-25970,365,107,3,Electronics,Phones,COD
B-25933,207,-100,2,Clothing,Saree,UPI
B-26081,359,-338,5,Furniture,Bookcases,COD
B-25650,351,-47,8,Electronics,Phones,COD
B-25850,485,199,4,Clothing,Saree,EMI
B-25643,37,-23,4,Clothing,Shirt,UPI
B-26100,34,10,2,Clothing,T-shirt,Debit Card
B-25964,346,108,3,Furniture,Chairs,COD
B-25676,342,-103,4,Electronics,Electronic Games,COD
B-25628,35,-8,2,Furniture,Furnishings,Debit Card
B-25891,121,41,4,Clothing,Stole,UPI
B-25903,336,57,2,Electronics,Phones,COD
B-25851,336,71,3,Furniture,Bookcases,COD
B-26089,27,4,1,Clothing,Hankerchief,COD
B-25996,333,50,2,Electronics,Phones,COD
B-25881,36,7,3,Clothing,Leggings,Debit Card
B-25621,333,-15,3,Electronics,Phones,COD
B-25727,327,114,4,Clothing,Trousers,COD
B-25843,18,6,3,Clothing,Hankerchief,UPI
B-26050,325,32,7,Clothing,T-shirt,COD
B-25741,482,-6,7,Electronics,Electronic Games,EMI
B-25756,465,-33,4,Electronics,Phones,EMI
B-25787,40,-12,3,Clothing,Shirt,COD
B-25603,107,36,6,Clothing,Stole,COD
B-25655,312,-312,7,Furniture,Chairs,COD
B-26096,451,25,3,Electronics,Phones,EMI
B-25962,312,62,1,Electronics,Electronic Games,COD
B-26007,311,72,2,Furniture,Bookcases,COD
B-26088,11,5,2,Clothing,Hankerchief,UPI
B-25673,37,-5,3,Clothing,T-shirt,Debit Card
B-25664,444,-200,4,Electronics,Phones,EMI
B-25642,434,26,11,Clothing,Shirt,Credit Card
B-25987,299,0,6,Clothing,Stole,COD
B-25903,37,17,3,Clothing,Hankerchief,Debit Card
B-25770,299,113,2,Furniture,Bookcases,COD
B-25840,298,74,2,Furniture,Bookcases,COD
B-25846,94,7,7,Clothing,Leggings,UPI
B-25745,296,225,11,Clothing,Saree,COD
B-26073,37,17,3,Clothing,Hankerchief,Debit Card
B-26030,291,93,2,Electronics,Printers,COD
B-25678,327,-39,1,Electronics,Phones,COD
B-26035,291,119,11,Clothing,Saree,COD
B-25896,287,-66,6,Clothing,Kurti,COD
B-25989,42,15,1,Electronics,Accessories,UPI
B-26016,429,61,3,Electronics,Electronic Games,Credit Card
B-26009,285,128,2,Electronics,Printers,COD
B-25915,277,3,1,Electronics,Electronic Games,COD
B-25845,274,-7,4,Electronics,Phones,COD
B-25645,273,-87,4,Electronics,Phones,COD
B-25803,269,91,1,Electronics,Electronic Games,COD
B-26030,11,5,1,Clothing,Skirt,COD
B-25955,39,2,2,Clothing,Saree,Debit Card
B-26096,264,-26,3,Clothing,Trousers,COD
B-25635,40,16,3,Clothing,Hankerchief,Debit Card
B-26038,41,19,2,Clothing,T-shirt,Debit Card
B-25791,253,-63,2,Clothing,Saree,UPI
B-26014,406,97,7,Furniture,Chairs,Credit Card
B-25751,32,7,3,Clothing,Hankerchief,COD
B-25962,260,68,2,Electronics,Printers,COD
B-26025,41,19,5,Clothing,Hankerchief,Debit Card
B-26048,401,13,6,Furniture,Chairs,Credit Card
B-25635,382,30,3,Clothing,Saree,Credit Card
B-25981,867,251,5,Electronics,Phones,COD
B-25610,43,0,3,Clothing,Saree,Debit Card
B-25733,43,-43,7,Clothing,Stole,Debit Card
B-25977,74,29,3,Clothing,Stole,COD
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card
B-25612,259,-55,2,Furniture,Chairs,COD
B-25608,257,23,5,Clothing,Hankerchief,COD
B-25752,76,27,5,Clothing,Stole,COD
B-25700,44,-32,3,Clothing,Stole,Debit Card
B-25856,257,3,2,Clothing,Saree,COD
B-26026,255,76,9,Clothing,Hankerchief,COD
B-25861,44,14,3,Clothing,Hankerchief,Debit Card
B-25673,45,-2,4,Clothing,Shirt,COD
B-25681,44,-3,1,Clothing,Saree,Debit Card
B-26051,382,119,2,Clothing,Saree,Credit Card
B-25951,250,100,3,Clothing,Trousers,COD
B-25799,45,-15,2,Furniture,Chairs,COD
B-26053,246,61,2,Furniture,Bookcases,COD
B-26030,50,25,5,Clothing,Stole,COD
B-26054,246,98,5,Clothing,Hankerchief,COD
B-25696,44,99,3,Clothing,Kurti,Debit Card
B-25660,245,-78,3,Clothing,Saree,COD
B-25858,245,30,2,Clothing,Saree,COD
B-26045,376,0,7,Clothing,Stole,Credit Card
B-25850,45,1,3,Clothing,T-shirt,Debit Card
B-25781,45,-28,2,Clothing,Stole,Debit Card
B-25918,244,-122,5,Furniture,Furnishings,COD
B-25971,244,83,2,Furniture,Bookcases,COD
B-25870,10,4,1,Clothing,Kurti,UPI
B-25770,375,180,3,Furniture,Bookcases,Credit Card
B-25757,46,14,5,Clothing,Skirt,Debit Card
B-25699,49,-31,2,Clothing,Stole,UPI
B-25776,47,-20,2,Clothing,Kurti,Debit Card
B-25893,355,-114,7,Clothing,Stole,Credit Card
B-25985,32,8,5,Clothing,Hankerchief,UPI
B-25681,243,-14,2,Furniture,Chairs,COD
B-26063,241,-77,4,Electronics,Electronic Games,COD
B-26032,47,15,5,Clothing,Saree,Debit Card
B-26001,50,-10,6,Clothing,Skirt,Debit Card
B-26056,15,6,2,Clothing,Hankerchief,COD
B-25850,148,24,3,Clothing,Stole,COD
B-25767,299,-28,3,Electronics,Electronic Games,UPI
B-25693,68,-30,1,Electronics,Phones,UPI
B-25850,52,18,5,Clothing,Leggings,Debit Card
B-25796,239,-162,5,Furniture,Chairs,COD
B-26053,27,6,3,Clothing,Skirt,COD
B-25650,238,20,2,Clothing,Saree,COD
B-25961,48,16,3,Clothing,Shirt,COD
B-26023,66,22,3,Clothing,Stole,UPI
B-25809,53,24,1,Clothing,Hankerchief,Debit Card
B-25621,233,-10,5,Electronics,Electronic Games,COD
B-25854,53,-2,3,Clothing,Saree,Debit Card
B-26057,54,8,4,Clothing,T-shirt,Debit Card
B-25688,352,-345,5,Clothing,Saree,Credit Card
B-25885,349,0,7,Clothing,Stole,Credit Card
B-25753,341,-85,6,Clothing,Trousers,Credit Card
B-25981,54,12,3,Clothing,Saree,Debit Card
B-26055,57,7,2,Clothing,Shirt,UPI
B-25714,340,20,7,Clothing,Shirt,Credit Card
B-26055,227,48,5,Clothing,Stole,COD
B-25989,330,81,1,Furniture,Bookcases,Credit Card
B-25710,216,-38,6,Furniture,Furnishings,UPI
B-25773,224,-143,3,Furniture,Chairs,COD
B-25661,55,-33,2,Furniture,Chairs,Debit Card
B-26021,49,21,1,Clothing,Stole,UPI
B-26057,224,87,3,Clothing,Trousers,COD
B-25858,223,27,2,Furniture,Bookcases,COD
B-25857,324,39,8,Electronics,Accessories,Credit Card
B-25656,56,18,2,Clothing,Hankerchief,Debit Card
B-25999,223,62,7,Clothing,Shirt,COD
B-25856,10,2,2,Clothing,Skirt,COD
B-25926,57,6,5,Clothing,Leggings,Debit Card
B-25728,322,-113,4,Clothing,Saree,Credit Card
B-26076,219,4,2,Clothing,Saree,COD
B-25913,103,21,7,Clothing,Stole,UPI
B-25703,47,-27,4,Clothing,Saree,COD
B-25858,219,0,1,Clothing,Saree,COD
B-25727,57,-48,6,Clothing,Leggings,Debit Card
B-26020,319,102,6,Electronics,Accessories,Credit Card
B-26003,315,-8,3,Furniture,Chairs,Credit Card
B-25925,314,-41,3,Electronics,Electronic Games,Credit Card
B-26087,311,40,1,Electronics,Electronic Games,EMI
B-25810,307,74,3,Electronics,Accessories,EMI
B-25858,294,109,7,Electronics,Accessories,EMI
B-25861,216,-83,3,Electronics,Electronic Games,COD
B-25661,58,-42,2,Furniture,Chairs,Debit Card
B-25943,48,20,4,Clothing,Stole,UPI
B-25955,54,14,3,Clothing,T-shirt,UPI
B-26051,216,50,4,Clothing,Stole,COD
B-25999,215,-30,2,Clothing,Saree,COD
B-26083,43,8,3,Clothing,Leggings,COD
B-25950,136,-33,5,Clothing,Saree,COD
B-25625,59,-30,3,Clothing,Leggings,Debit Card
B-26055,213,4,14,Clothing,Shirt,COD
B-26023,59,21,2,Clothing,Stole,Debit Card
B-26010,55,3,3,Clothing,T-shirt,COD
B-25955,294,62,9,Clothing,T-shirt,EMI
B-25900,210,62,2,Electronics,Phones,COD
B-26089,59,24,6,Clothing,Kurti,Debit Card
B-25655,396,-31,9,Clothing,Saree,COD
B-25979,284,45,2,Furniture,Bookcases,EMI
B-26002,276,52,5,Clothing,Saree,EMI
B-25635,23,2,2,Clothing,Skirt,UPI
B-26084,209,-63,4,Electronics,Electronic Games,COD
B-25998,50,-28,5,Furniture,Furnishings,COD
B-25872,57,27,2,Clothing,Shirt,COD
B-25795,276,-21,2,Electronics,Phones,EMI
B-25902,268,6,2,Furniture,Bookcases,UPI
B-25650,269,111,3,Clothing,Trousers,EMI
B-25957,209,2,1,Clothing,Saree,COD
B-25793,60,-12,4,Clothing,Hankerchief,Debit Card
B-25654,269,-86,2,Electronics,Electronic Games,EMI
B-25750,208,-25,2,Clothing,Saree,COD
B-25835,27,2,2,Clothing,Leggings,UPI
B-25652,206,-206,3,Clothing,Saree,COD
B-26018,61,8,4,Clothing,Hankerchief,Debit Card
B-25750,212,-24,2,Furniture,Chairs,COD
B-25840,262,64,6,Clothing,Saree,EMI
B-25756,204,276,3,Furniture,Bookcases,COD
B-25777,59,-46,7,Clothing,T-shirt,UPI
B-25750,199,-18,2,Clothing,Saree,COD
B-25823,59,6,1,Electronics,Accessories,UPI
B-26096,45,9,3,Clothing,Leggings,UPI
B-25757,211,19,8,Clothing,Stole,COD
B-25698,65,-16,2,Electronics,Phones,Debit Card
B-25710,25,0,4,Clothing,Skirt,UPI
B-25994,196,-7,5,Electronics,Phones,COD
B-25950,261,13,6,Clothing,Shirt,Credit Card
B-25653,195,-117,5,Electronics,Phones,COD
B-25785,192,-146,3,Clothing,Saree,COD
B-25863,189,87,7,Clothing,Stole,COD
B-25959,32,2,2,Clothing,Kurti,UPI
B-25991,188,13,7,Clothing,Shirt,COD
B-25680,73,-25,3,Clothing,Saree,COD
B-25910,259,47,5,Clothing,Hankerchief,Credit Card
B-25737,187,-15,3,Clothing,Trousers,COD
B-25853,26,11,2,Clothing,Hankerchief,UPI
B-26097,185,-26,6,Furniture,Chairs,COD
B-25875,248,8,2,Clothing,Saree,Credit Card
B-26031,67,9,4,Clothing,Leggings,Debit Card
B-25773,248,-70,3,Furniture,Chairs,Credit Card
B-25840,246,61,2,Furniture,Bookcases,Credit Card
B-25908,179,-25,5,Clothing,Kurti,COD
B-26041,176,-28,5,Furniture,Furnishings,COD
B-26010,176,-13,5,Furniture,Furnishings,COD
B-25640,68,-62,2,Clothing,Trousers,Debit Card
B-25794,176,37,6,Electronics,Accessories,COD
B-25987,88,11,7,Clothing,Hankerchief,UPI
B-25615,68,20,5,Clothing,Hankerchief,Debit Card
B-25997,231,99,2,Electronics,Electronic Games,Credit Card
B-25981,62,8,2,Clothing,T-shirt,UPI
B-25791,175,77,3,Clothing,Saree,COD
B-25986,71,4,5,Clothing,Leggings,Debit Card
B-25652,174,-70,3,Electronics,Accessories,COD
B-25952,173,69,3,Furniture,Chairs,COD
B-25898,171,2,2,Electronics,Electronic Games,COD
B-25785,268,-25,3,Clothing,Saree,COD
B-25990,71,32,3,Clothing,Saree,Debit Card
B-26091,29,10,4,Clothing,Hankerchief,UPI
B-25604,65,17,2,Clothing,T-shirt,UPI
B-25754,72,-46,7,Clothing,Kurti,Debit Card
B-25724,168,-51,2,Furniture,Bookcases,COD
B-25757,165,30,3,Clothing,Stole,COD
B-25767,74,-59,2,Electronics,Accessories,Debit Card
B-25886,89,17,2,Clothing,Stole,UPI
B-25621,228,63,3,Electronics,Electronic Games,Credit Card
B-25967,119,-24,4,Furniture,Furnishings,COD
B-25691,75,-25,3,Clothing,Stole,UPI
B-25953,67,20,4,Clothing,T-shirt,UPI
B-25651,7,0,1,Clothing,Leggings,COD
B-25828,222,35,5,Clothing,Saree,Credit Card
B-25628,219,-9,4,Clothing,Saree,Credit Card
B-25703,42,-23,2,Furniture,Furnishings,UPI
B-25929,216,-135,3,Furniture,Chairs,Credit Card
B-25748,47,-21,2,Electronics,Electronic Games,COD
B-25610,68,-55,5,Electronics,Accessories,UPI
B-25903,74,33,2,Clothing,Shirt,Debit Card
B-25878,165,46,3,Furniture,Furnishings,COD
B-26056,101,11,2,Clothing,Hankerchief,UPI
B-26004,162,73,2,Electronics,Electronic Games,COD
B-25699,20,-22,1,Furniture,Furnishings,UPI
B-26053,162,55,3,Clothing,Stole,COD
B-25654,229,-23,2,Clothing,Saree,UPI
B-25954,27,0,2,Clothing,Leggings,COD
B-25910,685,7,7,Clothing,Trousers,UPI
B-26064,75,2,5,Clothing,Leggings,Debit Card
B-25983,161,-229,8,Furniture,Furnishings,COD
B-26002,71,19,3,Clothing,T-shirt,COD
B-25650,211,-105,2,Clothing,Saree,Credit Card
B-26043,79,5,6,Clothing,Hankerchief,Debit Card
B-25657,32,-22,5,Clothing,Saree,UPI
B-25838,161,40,3,Clothing,Stole,COD
B-25651,159,4,1,Clothing,Saree,COD
B-25808,210,-50,4,Clothing,Hankerchief,Credit Card
B-25973,79,39,2,Clothing,Shirt,Debit Card
B-25698,207,153,3,Clothing,Saree,Credit Card
B-25818,36,0,4,Clothing,Kurti,COD
B-26061,206,12,1,Electronics,Printers,Credit Card
B-25878,46,0,4,Clothing,Leggings,COD
B-26054,156,23,3,Clothing,Stole,COD
B-25809,154,54,3,Clothing,Hankerchief,COD
B-26042,36,15,3,Clothing,Stole,UPI
B-26008,206,51,4,Clothing,Hankerchief,Credit Card
B-25927,200,7,4,Electronics,Electronic Games,Credit Card
B-26008,199,-1,1,Clothing,Saree,Credit Card
